id,joules,rows,features,exp,,,,
1,852.098708,10000r,10f,10000r10f,,,,
2,396.340599,10000r,10f,10000r10f,,,,
3,477.545224,10000r,10f,10000r10f,,,,
4,-449.104381,10000r,15f,10000r15f,,,,
5,445.182879,10000r,15f,10000r15f,,,,
6,398.347977,10000r,15f,10000r15f,,,,
7,317.970865,10000r,20f,10000r20f,,,,
8,774.479951,10000r,20f,10000r20f,,,,
9,238.855775,10000r,20f,10000r20f,,,,
10,33.507237,1000r,10f,1000r10f,,,,
11,60.363189,1000r,10f,1000r10f,,,,
12,89.519238,1000r,10f,1000r10f,,,,
13,31.499005,1000r,15f,1000r15f,,,,
14,58.922947,1000r,15f,1000r15f,,,,
15,9.595007,1000r,15f,1000r15f,,,,
16,-42.154863,1000r,20f,1000r20f,,,,
17,-561.394007,1000r,20f,1000r20f,,,,
18,23.145997,1000r,20f,1000r20f,,,,
19,-306.843391,5000r,10f,5000r10f,,,,
20,716.919001,5000r,10f,5000r10f,,,,
21,588.485127,5000r,10f,5000r10f,,,,
22,112.89089,5000r,15f,5000r15f,,,,
23,765.715568,5000r,15f,5000r15f,,,,
24,3.186148,5000r,15f,5000r15f,,,,
25,910.848135,5000r,20f,5000r20f,,,,
26,212.973026,5000r,20f,5000r20f,,,,
27,50.762993,5000r,20f,5000r20f,,,,
28,1383.879332,10000r,10f,10000r10f,,,,
29,53.743878,10000r,10f,10000r10f,,,,
30,568.585154,10000r,10f,10000r10f,,,,
31,-566.94081,10000r,15f,10000r15f,,,,
32,-333.592833,10000r,15f,10000r15f,,,,
33,2001.358643,10000r,15f,10000r15f,,,,
34,320.440645,10000r,20f,10000r20f,,,,
35,248.102024,10000r,20f,10000r20f,,,,
36,186.765026,10000r,20f,10000r20f,,,,
37,124.785387,1000r,10f,1000r10f,,,,
38,25.258052,1000r,10f,1000r10f,,,,
39,87.558432,1000r,10f,1000r10f,,,,
40,24.131531,1000r,15f,1000r15f,,,,
41,96.811398,1000r,15f,1000r15f,,,,
42,-1.590389,1000r,15f,1000r15f,,,,
43,173.385114,1000r,20f,1000r20f,,,,
44,-404.766176,1000r,20f,1000r20f,,,,
45,29.835191,1000r,20f,1000r20f,,,,
46,142.147952,5000r,10f,5000r10f,,,,
47,507.111921,5000r,10f,5000r10f,,,,
48,373.311542,5000r,10f,5000r10f,,,,
49,161.253371,5000r,15f,5000r15f,,,,
50,1214.670108,5000r,15f,5000r15f,,,,
51,402.531684,5000r,15f,5000r15f,,,,
52,159.314897,5000r,20f,5000r20f,,,,
53,435.718123,5000r,20f,5000r20f,,,,
54,107.852384,5000r,20f,5000r20f,,,,
