id,joules,dataset,rows,features,exp
1,5.983077,anon,10000r,10f,anon10000r10f
2,4.765431,anon,10000r,10f,anon10000r10f
3,5.319016,anon,10000r,10f,anon10000r10f
4,8.501136,anon,10000r,15f,anon10000r15f
5,10.18143,anon,10000r,15f,anon10000r15f
6,7.596966,anon,10000r,15f,anon10000r15f
7,7.790812,anon,10000r,20f,anon10000r20f
8,8.343973,anon,10000r,20f,anon10000r20f
9,7.092327,anon,10000r,20f,anon10000r20f
10,0.72308,anon,1000r,10f,anon1000r10f
11,0.80737,anon,1000r,10f,anon1000r10f
12,0.700316,anon,1000r,10f,anon1000r10f
13,0.841368,anon,1000r,15f,anon1000r15f
14,0.693783,anon,1000r,15f,anon1000r15f
15,0.767821,anon,1000r,15f,anon1000r15f
16,0.910766,anon,1000r,20f,anon1000r20f
17,1.201413,anon,1000r,20f,anon1000r20f
18,0.971982,anon,1000r,20f,anon1000r20f
19,2.764642,anon,5000r,10f,anon5000r10f
20,2.322626,anon,5000r,10f,anon5000r10f
21,2.22967,anon,5000r,10f,anon5000r10f
22,3.283929,anon,5000r,15f,anon5000r15f
23,2.659538,anon,5000r,15f,anon5000r15f
24,2.844719,anon,5000r,15f,anon5000r15f
25,3.382559,anon,5000r,20f,anon5000r20f
26,4.499439,anon,5000r,20f,anon5000r20f
27,4.145497,anon,5000r,20f,anon5000r20f
28,4.482656,anon,10000r,10f,anon10000r10f
29,5.490281,anon,10000r,10f,anon10000r10f
30,4.518542,anon,10000r,10f,anon10000r10f
31,8.512066,anon,10000r,15f,anon10000r15f
32,7.840862,anon,10000r,15f,anon10000r15f
33,6.752545,anon,10000r,15f,anon10000r15f
34,7.312056,anon,10000r,20f,anon10000r20f
35,8.041239,anon,10000r,20f,anon10000r20f
36,6.941082,anon,10000r,20f,anon10000r20f
37,0.761168,anon,1000r,10f,anon1000r10f
38,0.691404,anon,1000r,10f,anon1000r10f
39,1.170957,anon,1000r,10f,anon1000r10f
40,1.032527,anon,1000r,15f,anon1000r15f
41,0.791927,anon,1000r,15f,anon1000r15f
42,1.117125,anon,1000r,15f,anon1000r15f
43,0.86206,anon,1000r,20f,anon1000r20f
44,1.370174,anon,1000r,20f,anon1000r20f
45,1.418086,anon,1000r,20f,anon1000r20f
46,1.80322,anon,5000r,10f,anon5000r10f
47,1.674924,anon,5000r,10f,anon5000r10f
48,1.679623,anon,5000r,10f,anon5000r10f
49,2.937796,anon,5000r,15f,anon5000r15f
50,2.84826,anon,5000r,15f,anon5000r15f
51,2.965691,anon,5000r,15f,anon5000r15f
52,3.888968,anon,5000r,20f,anon5000r20f
53,4.559072,anon,5000r,20f,anon5000r20f
54,4.324206,anon,5000r,20f,anon5000r20f
55,3.5559,orig,10000r,10f,orig10000r10f
56,3.207939,orig,10000r,10f,orig10000r10f
57,2.75384,orig,10000r,10f,orig10000r10f
58,4.041432,orig,10000r,15f,orig10000r15f
59,3.989735,orig,10000r,15f,orig10000r15f
60,4.237719,orig,10000r,15f,orig10000r15f
61,4.659597,orig,10000r,20f,orig10000r20f
62,5.250658,orig,10000r,20f,orig10000r20f
63,3.768424,orig,10000r,20f,orig10000r20f
64,0.712828,orig,1000r,10f,orig1000r10f
65,1.141476,orig,1000r,10f,orig1000r10f
66,0.568175,orig,1000r,10f,orig1000r10f
67,0.917114,orig,1000r,15f,orig1000r15f
68,0.531492,orig,1000r,15f,orig1000r15f
69,0.745542,orig,1000r,15f,orig1000r15f
70,0.750547,orig,1000r,20f,orig1000r20f
71,1.266111,orig,1000r,20f,orig1000r20f
72,0.986509,orig,1000r,20f,orig1000r20f
73,2.015683,orig,5000r,10f,orig5000r10f
74,2.209099,orig,5000r,10f,orig5000r10f
75,1.588193,orig,5000r,10f,orig5000r10f
76,1.756039,orig,5000r,15f,orig5000r15f
77,1.554378,orig,5000r,15f,orig5000r15f
78,1.720456,orig,5000r,15f,orig5000r15f
79,1.891535,orig,5000r,20f,orig5000r20f
80,1.8836,orig,5000r,20f,orig5000r20f
81,2.310724,orig,5000r,20f,orig5000r20f
82,2.673455,orig,10000r,10f,orig10000r10f
83,2.927667,orig,10000r,10f,orig10000r10f
84,2.64074,orig,10000r,10f,orig10000r10f
85,4.593983,orig,10000r,15f,orig10000r15f
86,3.964527,orig,10000r,15f,orig10000r15f
87,3.701894,orig,10000r,15f,orig10000r15f
88,4.521168,orig,10000r,20f,orig10000r20f
89,3.971484,orig,10000r,20f,orig10000r20f
90,3.792593,orig,10000r,20f,orig10000r20f
91,0.506896,orig,1000r,10f,orig1000r10f
92,0.909604,orig,1000r,10f,orig1000r10f
93,0.57684,orig,1000r,10f,orig1000r10f
94,1.177732,orig,1000r,15f,orig1000r15f
95,0.488218,orig,1000r,15f,orig1000r15f
96,0.685912,orig,1000r,15f,orig1000r15f
97,11.079987,orig,1000r,20f,orig1000r20f
98,0.921263,orig,1000r,20f,orig1000r20f
99,0.881345,orig,1000r,20f,orig1000r20f
100,1.555783,orig,5000r,10f,orig5000r10f
101,1.43994,orig,5000r,10f,orig5000r10f
102,1.843866,orig,5000r,10f,orig5000r10f
103,2.008295,orig,5000r,15f,orig5000r15f
104,1.419185,orig,5000r,15f,orig5000r15f
105,1.485103,orig,5000r,15f,orig5000r15f
106,2.019282,orig,5000r,20f,orig5000r20f
107,2.476739,orig,5000r,20f,orig5000r20f
108,2.275263,orig,5000r,20f,orig5000r20f
